Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
20,RandomBot,placed,N/A,N/A,"(1, 3)",7,1,0000000000010000000010000000000000000000000000000000001000000000000000000000000000000000000001000000010000000000000000001000000000000000000000000000000000000000000000010000000000000000000000100000000000000000001000000000000000000000000000000001000000000000
21,RandomBot,selected,"TALL, BLACK, CIRCLE, WITH_HOLE",9,N/A,N/A,1,N/A
22,RandomBot,placed,N/A,N/A,"(2, 1)",9,1,0000000000010000000010000000000000000000000000000000001000000000000000000000000000000000000001000000010000000000000000001000000000000000000000000000000001000000000000010000000000000000000000100000000000000000001000000000000000000000000000000001000000000000
23,RandomBot,selected,"LITTLE, WHITE, CIRCLE, WITHOUT_HOLE",4,N/A,N/A,1,N/A
24,RandomBot,placed,N/A,N/A,"(0, 0)",0,1,0000000000010000000010000000000000000000000000000000001000000000100000000000000000000000000001000000010000000000000000001000000000000000000000000000000001000000000000010000000000000000000000100000000000000000001000000000000000000000000000000001000000000000
25,RandomBot,selected,"LITTLE, BLACK, SQUARE, WITHOUT_HOLE",2,N/A,N/A,1,N/A
26,RandomBot,placed,N/A,N/A,"(0, 1)",1,1,0000000000010000000010000000000001000000000000000000001000000000100000000000000000000000000001000000010000000000000000001000000000000000000000000000000001000000000000010000000000000000000000100000000000000000001000000000000000000000000000000001000000000000
27,RandomBot,selected,"TALL, BLACK, CIRCLE, WITHOUT_HOLE",8,N/A,N/A,1,N/A
28,RandomBot,placed,N/A,N/A,"(3, 0)",12,1,0000000000010000000010000000000001000000000000000000001000000000100000000000000000000000000001000000010000000000000000001000000000000000000010000000000001000000000000010000000000000000000000100000000000000000001000000000000000000000000000000001000000000000
29,RandomBot,selected,"TALL, WHITE, CIRCLE, WITHOUT_HOLE",12,N/A,N/A,1,N/A
30,RandomBot,placed,N/A,N/A,"(2, 2)",10,1,0000000000010000000010000000000001000000000000000000001000000000100000000000000000000000000001000000010000000000000000001000000000000000000010000000000001000000000000010000000000000000000000100000000000100000001000000000000000000000000000000001000000000000
31,RandomBot,selected,"TALL, WHITE, SQUARE, WITHOUT_HOLE",14,N/A,N/A,1,N/A
32,RandomBot,placed,N/A,N/A,"(3, 3)",15,1,0000000000010000000010000000000001000000000000000000001000000000100000000000000000000000000001000000010000000000000000001000000000000000000010000000000001000000000000010000000000000000000000100000000000100000001000000000000000000000000000010001000000000000

Ganador,RandomBot
